StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q8,Q13,Q15,Q17,Q21,Q19
2026-02-22 04:17:06,2026-02-22 04:21:33,0,174.215.112.58,100,266,1,2026-02-22 04:21:33,R_6gYtqaXXVjAAcCK,,,,,47.6109,-122.3303,anonymous,EN,5,2,3,7,20,30,30,20
2026-02-22 04:26:12,2026-02-22 04:37:12,0,73.109.251.60,100,660,1,2026-02-22 04:37:13,R_5DoULQA5qgCSjh9,,,,,47.7345,-117.447,anonymous,EN,3,2,2,3,10,80,150,100
2026-02-22 05:24:13,2026-02-22 05:27:03,0,172.117.122.223,100,169,1,2026-02-22 05:27:03,R_5q90WnqcaH18Qym,,,,,33.6647,-117.9663,anonymous,EN,3,2,4,20,50,400,500,500
2026-02-22 16:17:30,2026-02-22 16:19:25,0,71.235.249.22,100,114,1,2026-02-22 16:19:26,R_3doXDD9I27DGX8Q,,,,,42.3474,-71.1582,anonymous,EN,3,2,2,5,10,30,15,0
2026-02-22 16:55:39,2026-02-22 16:57:36,0,166.205.87.70,100,116,1,2026-02-22 16:57:36,R_5svwOfrRnPZv3uY,,,,,37.7308,-122.3838,anonymous,EN,5,2,3,9,20,150,150,150
2026-02-22 19:26:14,2026-02-22 19:27:23,0,172.56.43.139,100,68,1,2026-02-22 19:27:23,R_5ufgaoYvIHDaEnv,,,,,37.7183,-122.4103,anonymous,EN,3,2,2,10,15,80,40,60
2026-02-22 19:30:27,2026-02-22 19:33:40,0,24.5.62.127,100,193,1,2026-02-22 19:33:41,R_7AExxLMfRVAwyBw,,,,,37.7836,-122.4353,anonymous,EN,3,2,3,9,25,250,200,100
2026-02-23 00:54:07,2026-02-23 00:55:24,0,71.34.170.194,100,77,1,2026-02-23 00:55:25,R_7c06TAts30XWQh3,,,,,41.7136,-93.6221,anonymous,EN,2,1,3,10,50,250,300,400
2026-02-23 01:10:23,2026-02-23 01:13:35,0,66.30.10.8,100,191,1,2026-02-23 01:13:35,R_61ZJQvPXW4Tzwac,,,,,42.3399,-71.1245,anonymous,EN,2,2,2,8,35,100,90,120
2026-02-23 11:36:22,2026-02-23 11:44:59,0,172.56.196.43,100,516,1,2026-02-23 11:44:59,R_6gacYjIgBQHwWKl,,,,,42.415,-71.0527,anonymous,EN,4,1,2,3,9,110,55,75
2026-02-23 16:57:33,2026-02-23 16:58:37,0,107.116.255.113,100,64,1,2026-02-23 16:58:38,R_5yOQNnBdfH78KIx,,,,,47.6109,-122.3303,anonymous,EN,3,2,4,5,18,130,200,100
2026-02-23 19:26:21,2026-02-23 19:28:46,0,72.74.220.187,100,144,1,2026-02-23 19:28:46,R_7IuuIFcGrWVVlRc,,,,,42.3291,-71.1815,anonymous,EN,2,1,3,9,8,140,200,150
2026-02-25 22:16:17,2026-02-25 22:17:39,0,24.61.57.161,100,82,1,2026-02-25 22:17:40,R_7Nq2lc15KxrE6rV,,,,,42.2904,-71.0712,anonymous,EN,2,1,2,2,15,150,105,30
2026-02-25 22:21:29,2026-02-25 22:22:44,0,128.197.28.161,100,75,1,2026-02-25 22:22:44,R_6NVUFQPsIY6OFLX,,,,,42.3464,-71.0975,anonymous,EN,2,2,2,5,18,150,200,100
2026-02-25 22:22:41,2026-02-25 22:24:05,0,128.197.28.151,100,83,1,2026-02-25 22:24:05,R_53pQgUAMn6x1QfJ,,,,,42.3464,-71.0975,anonymous,EN,2,1,4,2,0,60,0,20
2026-02-25 22:36:37,2026-02-25 22:37:39,0,172.56.195.48,100,62,1,2026-02-25 22:37:39,R_1rfDK0O92U1rlHB,,,,,42.2904,-71.0712,anonymous,EN,3,1,1,7,4,80,150,100
2026-02-25 22:40:34,2026-02-25 22:43:22,0,172.56.197.110,100,168,1,2026-02-25 22:43:22,R_7Vxua1SJhQPKZ6F,,,,,42.415,-71.0527,anonymous,EN,2,2,3,3,20,100,200,200
2026-02-25 23:31:53,2026-02-25 23:33:15,0,172.56.194.67,100,81,1,2026-02-25 23:33:15,R_1WsDuVxioyJhy49,,,,,42.2904,-71.0712,anonymous,EN,2,2,3,20,30,200,150,80
2026-02-26 01:23:59,2026-02-26 01:36:20,0,172.56.198.57,100,740,1,2026-02-26 01:36:21,R_5v1c2LwhVv5SiUV,,,,,42.415,-71.0527,anonymous,EN,2,1,4,4,20,100,70,120
2026-02-26 03:52:03,2026-02-26 03:53:12,0,73.218.140.81,100,68,1,2026-02-26 03:53:12,R_3I3Hz9gi4i1hxVl,,,,,42.3474,-71.1582,anonymous,EN,2,1,1,3,5,100,80,0
2026-02-26 14:32:04,2026-02-26 14:34:32,0,128.197.28.178,100,148,1,2026-02-26 14:34:32,R_5rUsk5Z7fpdUmc5,,,,,42.3464,-71.0975,qr,EN,2,1,1,5,60,200,200,250
2026-02-26 15:01:17,2026-02-26 15:02:15,0,204.8.158.101,100,58,1,2026-02-26 15:02:16,R_5xGckO3DXw84brf,,,,,42.3464,-71.0975,qr,EN,2,2,4,5,10,150,60,55
